,id,description,title,lang,url,banner,capacity,starting_at,ending_at,status,event_type_id,host,excerpt,academy_id,eventbrite_id,eventbrite_status,eventbrite_url,published_at,eventbrite_sync_description,eventbrite_sync_status,online_event,sync_with_eventbrite,currency,slug,tags
0,362,¿Te gusta la programación web?,Introducción al código Latam,es,https://www.eventbrite.com/e/introduccion-al-codigo-latam-tickets-329197748327,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F283148739%2F187450375408%2F1%2Foriginal.20220511-221308?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C4320%2C2160&s=c59e7cfbc75fdbbb502a7e2247d67d98,100,2022-05-18 18:30:00+00:00,2022-05-18 19:30:00+00:00,COMPLETED,2.0,Marcelo Ricigliano,¿Te gusta la programación web?,7.0,329197748327.0,completed,https://www.eventbrite.com/e/introduccion-al-codigo-latam-tickets-329197748327,2022-04-28 02:20:54+00:00,2022-05-19 04:31:27.544426+00:00,PERSISTED,True,True,USD,introduccion-al-codigo-latam,"fs-event-attendee,openhouse-attendee"
1,35,¡Ven y crea el producto que enamore al cliente! ,Crea un producto que enamore,,https://www.eventbrite.com/e/crea-un-producto-que-enamore-tickets-122429145871,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F112435297%2F187450375408%2F1%2Foriginal.20200923-172415?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=7f8ae7b3d8df11a35b587dc3679a3f68,100,2020-10-14 16:30:00+00:00,2020-10-14 17:30:00+00:00,ACTIVE,,,¡Ven y crea el producto que enamore al cliente! ,6.0,122429145871.0,live,https://www.eventbrite.com/e/crea-un-producto-que-enamore-tickets-122429145871,2020-09-23 18:55:47+00:00,2020-10-14 07:30:36.116768+00:00,PERSISTED,True,False,USD,,
2,36,¡Lo han logrado! Nuestros estudiantes presentarán sus proyectos finales como Desarrolladores de Software Full-Stack . ,GeekTALKS: Presentación de proyectos finales,,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-122282429037,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F112939165%2F187450375408%2F1%2Foriginal.20200928-212543?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C64%2C1920%2C960&s=d4dd16387a7e1dc96066ebdc975cbbe1,200,2020-10-16 19:00:00+00:00,2020-10-16 21:00:00+00:00,ACTIVE,,,¡Lo han logrado! Nuestros estudiantes presentarán sus proyectos finales como Desarrolladores de Software Full-Stack . ,2.0,122282429037.0,live,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-122282429037,2020-09-22 18:36:58+00:00,2020-10-16 07:30:52.632913+00:00,PERSISTED,True,False,USD,,
3,39,"Get to know the newest Software Developers in town
",Final Project Presentation: Pitch Day,,https://www.eventbrite.com/e/final-project-presentation-pitch-day-tickets-124560294193,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F114034475%2F187450375408%2F1%2Foriginal.20201008-142320?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C60%2C1920%2C960&s=7d66d121d807e1ebfb161288e75c3bd4,100,2020-10-23 22:00:00+00:00,2020-10-23 23:30:00+00:00,ACTIVE,,,"Get to know the newest Software Developers in town
",4.0,124560294193.0,live,https://www.eventbrite.com/e/final-project-presentation-pitch-day-tickets-124560294193,2020-10-08 14:48:49+00:00,2020-10-23 07:30:28.992661+00:00,PERSISTED,True,False,USD,,
4,40,prueba,como cuidar tu salud mental y productividad trabajando remoto durante COVID,,https://www.eventbrite.com/e/como-cuidar-tu-salud-mental-y-productividad-trabajando-remoto-durante-covid-tickets-125361996105,,100,2020-10-15 23:00:00+00:00,2020-10-16 00:00:00+00:00,ACTIVE,,,prueba,,125361996105.0,live,https://www.eventbrite.com/e/como-cuidar-tu-salud-mental-y-productividad-trabajando-remoto-durante-covid-tickets-125361996105,2020-10-14 17:07:44+00:00,2020-10-15 07:30:54.382183+00:00,PERSISTED,True,False,USD,,
5,143,Desarrollo web-components,Desarrollo web-components,,https://www.eventbrite.com/e/desarrollo-web-components-tickets-153777124519,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F135002699%2F400512721347%2F1%2Foriginal.20210511-131023?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C5%2C2160%2C1080&s=5760de52740553b3a4a767d0ee0c4c2f,45,2021-05-26 16:00:00+00:00,2021-05-26 18:00:00+00:00,ACTIVE,,,Desarrollo web-components,6.0,153777124519.0,live,https://www.eventbrite.com/e/desarrollo-web-components-tickets-153777124519,2021-05-11 08:14:47+00:00,2021-05-26 07:30:32.235373+00:00,PERSISTED,True,False,USD,,
6,38,¡Ven a nuestro GeekTalks: Demo Day!,GEEKTALKS - DEMO DAY ¡TÚ TAMBIÉN HARÁS ESTO CUANDO SEAS PROGRAMADOR!,,https://www.eventbrite.com/e/geektalks-demo-day-tu-tambien-haras-esto-cuando-seas-programador-tickets-124782962199,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F114214789%2F187450375408%2F1%2Foriginal.20201009-230501?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=cb91c20714af12a4a7bc6414acdfe7de,100,2020-10-22 16:30:00+00:00,2020-10-22 18:00:00+00:00,ACTIVE,,,¡Ven a nuestro GeekTalks: Demo Day!,6.0,124782962199.0,live,https://www.eventbrite.com/e/geektalks-demo-day-tu-tambien-haras-esto-cuando-seas-programador-tickets-124782962199,2020-10-09 23:14:14+00:00,2020-10-22 07:30:34.986613+00:00,PERSISTED,True,False,USD,,
7,353,Deep Diving into the world of Data Science and Machine Learning!,Intro to Data Science for Machine Learning,en,https://www.eventbrite.com/e/intro-to-data-science-for-machine-learning-tickets-318875644637,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F264611829%2F187450375408%2F1%2Foriginal.20220411-151035?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=261b469a5517960030360467d1d39557,100,2022-04-28 22:00:00+00:00,2022-04-29 00:00:00+00:00,COMPLETED,1.0,Daniela Alvarez,Deep Diving into the world of Data Science and Machine Learning!,4.0,318875644637.0,completed,https://www.eventbrite.com/e/intro-to-data-science-for-machine-learning-tickets-318875644637,2022-04-11 15:31:16+00:00,2022-04-29 08:11:54.643078+00:00,PERSISTED,True,True,USD,intro-to-data-science-for-machine-learning,"ml-event-attendee,tech-machinelearning,tech-datascience"
8,414,,Intro a Django,,https://www.eventbrite.com/e/entradas-intro-a-django-370411349317,,0,2022-06-29 17:00:00+00:00,2022-06-29 18:30:00+00:00,DRAFT,,,,4.0,370411349317.0,draft,https://www.eventbrite.com/e/entradas-intro-a-django-370411349317,,2022-06-20 12:12:38.345609+00:00,PERSISTED,True,True,USD,,
9,37,Preséntale al mundo un currrículum que logre un gran impacto,Cómo crear tu currículum con HTML y CSS,,https://www.eventbrite.com/e/como-crear-tu-curriculum-con-html-y-css-tickets-124484684041,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F113960229%2F187450375408%2F1%2Foriginal.20201007-214253?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=c27d2ce8223b1634736aad46b364f753,200,2020-10-22 19:00:00+00:00,2020-10-22 20:00:00+00:00,ACTIVE,,,Preséntale al mundo un currrículum que logre un gran impacto,2.0,124484684041.0,live,https://www.eventbrite.com/e/como-crear-tu-curriculum-con-html-y-css-tickets-124484684041,2020-10-07 22:12:40+00:00,2020-10-22 07:30:34.764812+00:00,PERSISTED,True,False,USD,,
