id,description,title,lang,url,banner,capacity,starting_at,ending_at,status,created_at,updated_at,author_id,event_type_id,host,venue_id,excerpt,academy_id,eventbrite_id,eventbrite_organizer_id,eventbrite_status,eventbrite_url,organization_id,published_at,eventbrite_sync_description,eventbrite_sync_status,online_event,sync_with_eventbrite,currency,slug,tags,live_stream_url,host_user_id,free_for_bootcamps,uuid
35,¡Ven y crea el producto que enamore al cliente! ,Crea un producto que enamore,,https://www.eventbrite.com/e/crea-un-producto-que-enamore-tickets-122429145871,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F112435297%2F187450375408%2F1%2Foriginal.20200923-172415?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=7f8ae7b3d8df11a35b587dc3679a3f68,100,2020-10-14 16:30:00+00:00,2020-10-14 17:30:00+00:00,ACTIVE,2020-10-12 23:09:17.819387+00:00,2023-08-22 14:08:29.981590+00:00,,,,,¡Ven y crea el producto que enamore al cliente! ,6.0,122429145871,,live,https://www.eventbrite.com/e/crea-un-producto-que-enamore-tickets-122429145871,4,2020-09-23 18:55:47+00:00,2020-10-14 07:30:36.116768+00:00,PERSISTED,True,False,USD,,,,,,c79639a9-b813-4dd0-b3ef-77359cee69aa
772,,testing event,,https://www.eventbrite.com/e/testing-event-tickets-692538329787,,5,2023-08-09 15:29:00+00:00,2023-08-09 17:29:00+00:00,DRAFT,2023-08-04 15:35:35.638794+00:00,2023-08-22 14:08:30.041362+00:00,,,,,sadfad asdf adsf asd,10.0,692538329787,,draft,https://www.eventbrite.com/e/testing-event-tickets-692538329787,4,,2023-08-04 15:35:36.340622+00:00,PERSISTED,True,True,USD,,,,,,19fa3951-c528-4597-9a93-111a6b6c6ee3
420,Our students from our Full-Stack Software Development Program will be presenting their final projects and showing off what they have built.,Projects presentation / Graduation Day,en,https://www.eventbrite.com/e/coding-bootcamp-graduation-day-tickets-372949380637,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F307949299%2F187450375408%2F1%2Foriginal.20220623-202229?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=52628e7b4b0be5d0069f9f110121a687,100,2022-07-15 22:00:00+00:00,2022-07-16 00:00:00+00:00,COMPLETED,2022-06-23 20:18:49.275555+00:00,2023-08-22 14:08:30.961368+00:00,,,Alissa Landra,,Our students from our Full-Stack Software Development Program will be presenting their final projects and showing off what they have built.,4.0,372949380637,,completed,https://www.eventbrite.com/e/projects-presentation-graduation-day-tickets-372949380637,4,2022-06-23 20:32:30+00:00,2022-08-05 15:30:43.459953+00:00,PERSISTED,False,True,USD,coding-bootcamp-graduation-day,"fs-event-attendee,geektalk-attendee",,,,6bdee2e4-0ba6-4563-a48b-9687775297b2
36,¡Lo han logrado! Nuestros estudiantes presentarán sus proyectos finales como Desarrolladores de Software Full-Stack . ,GeekTALKS: Presentación de proyectos finales,,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-122282429037,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F112939165%2F187450375408%2F1%2Foriginal.20200928-212543?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C64%2C1920%2C960&s=d4dd16387a7e1dc96066ebdc975cbbe1,200,2020-10-16 19:00:00+00:00,2020-10-16 21:00:00+00:00,ACTIVE,2020-10-12 23:09:17.868476+00:00,2023-08-22 14:08:29.988928+00:00,,,,,¡Lo han logrado! Nuestros estudiantes presentarán sus proyectos finales como Desarrolladores de Software Full-Stack . ,2.0,122282429037,,live,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-122282429037,4,2020-09-22 18:36:58+00:00,2020-10-16 07:30:52.632913+00:00,PERSISTED,True,False,USD,,,,,,a97fd8e6-786a-4cec-b3c3-9f184505c318
39,"Get to know the newest Software Developers in town
",Final Project Presentation: Pitch Day,,https://www.eventbrite.com/e/final-project-presentation-pitch-day-tickets-124560294193,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F114034475%2F187450375408%2F1%2Foriginal.20201008-142320?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C60%2C1920%2C960&s=7d66d121d807e1ebfb161288e75c3bd4,100,2020-10-23 22:00:00+00:00,2020-10-23 23:30:00+00:00,ACTIVE,2020-10-12 23:09:18.185935+00:00,2023-08-22 14:08:29.994850+00:00,,,,,"Get to know the newest Software Developers in town
",4.0,124560294193,,live,https://www.eventbrite.com/e/final-project-presentation-pitch-day-tickets-124560294193,4,2020-10-08 14:48:49+00:00,2020-10-23 07:30:28.992661+00:00,PERSISTED,True,False,USD,,,,,,00cd317d-7a23-47b3-9b82-3ac75e9f2db2
40,prueba,como cuidar tu salud mental y productividad trabajando remoto durante COVID,,https://www.eventbrite.com/e/como-cuidar-tu-salud-mental-y-productividad-trabajando-remoto-durante-covid-tickets-125361996105,,100,2020-10-15 23:00:00+00:00,2020-10-16 00:00:00+00:00,ACTIVE,2020-10-15 07:30:54.403610+00:00,2023-08-22 14:08:30.000757+00:00,,,,,prueba,,125361996105,,live,https://www.eventbrite.com/e/como-cuidar-tu-salud-mental-y-productividad-trabajando-remoto-durante-covid-tickets-125361996105,4,2020-10-14 17:07:44+00:00,2020-10-15 07:30:54.382183+00:00,PERSISTED,True,False,USD,,,,,,4f380f5d-1205-4552-8af7-91c2b459ac2c
143,Desarrollo web-components,Desarrollo web-components,,https://www.eventbrite.com/e/desarrollo-web-components-tickets-153777124519,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F135002699%2F400512721347%2F1%2Foriginal.20210511-131023?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C5%2C2160%2C1080&s=5760de52740553b3a4a767d0ee0c4c2f,45,2021-05-26 16:00:00+00:00,2021-05-26 18:00:00+00:00,ACTIVE,2021-05-12 07:31:20.442903+00:00,2023-08-22 14:08:30.006947+00:00,,,,,Desarrollo web-components,6.0,153777124519,,live,https://www.eventbrite.com/e/desarrollo-web-components-tickets-153777124519,4,2021-05-11 08:14:47+00:00,2021-05-26 07:30:32.235373+00:00,PERSISTED,True,False,USD,,,,,,1041dc88-c022-40f9-9230-27b423fd8438
38,¡Ven a nuestro GeekTalks: Demo Day!,GEEKTALKS - DEMO DAY ¡TÚ TAMBIÉN HARÁS ESTO CUANDO SEAS PROGRAMADOR!,,https://www.eventbrite.com/e/geektalks-demo-day-tu-tambien-haras-esto-cuando-seas-programador-tickets-124782962199,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F114214789%2F187450375408%2F1%2Foriginal.20201009-230501?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=cb91c20714af12a4a7bc6414acdfe7de,100,2020-10-22 16:30:00+00:00,2020-10-22 18:00:00+00:00,ACTIVE,2020-10-12 23:09:18.082774+00:00,2023-08-22 14:08:30.012906+00:00,,,,,¡Ven a nuestro GeekTalks: Demo Day!,6.0,124782962199,,live,https://www.eventbrite.com/e/geektalks-demo-day-tu-tambien-haras-esto-cuando-seas-programador-tickets-124782962199,4,2020-10-09 23:14:14+00:00,2020-10-22 07:30:34.986613+00:00,PERSISTED,True,False,USD,,,,,,8885eade-0098-449c-8bee-b8aa6b9891d2
496,"Don't let your tech skills to waste! First, create a winning resume, then find jobs to apply for.",How to make your resume stand out,en,https://www.eventbrite.com/e/how-to-make-your-resume-stand-out-tickets-453899374247,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F382279659%2F187450375408%2F1%2Foriginal.20221028-150259?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=21b070822e031da469b7ac900048500f,100,2022-11-08 23:00:00+00:00,2022-11-09 00:30:00+00:00,COMPLETED,2022-10-28 14:47:54.737928+00:00,2023-08-22 14:08:30.018541+00:00,,,Karla Cuevas,,"Don't let your tech skills to waste! First, create a winning resume, then find jobs to apply for.",4.0,453899374247,,completed,https://www.eventbrite.com/e/how-to-make-your-resume-stand-out-tickets-453899374247,4,2022-10-28 15:18:26+00:00,2022-11-09 09:07:27.074766+00:00,PERSISTED,True,True,USD,how-to-make-your-resume-stand-out,"career-support-attendee,fs-event-attendee",,,,dcdf9f7e-a906-40ec-8136-935f5318c61b
414,,Intro a Django,,https://www.eventbrite.com/e/entradas-intro-a-django-370411349317,,0,2022-06-29 17:00:00+00:00,2022-06-29 18:30:00+00:00,DRAFT,2022-06-20 12:12:35.376192+00:00,2023-08-22 14:08:30.050540+00:00,,,,,,4.0,370411349317,,draft,https://www.eventbrite.com/e/entradas-intro-a-django-370411349317,4,,2022-06-20 12:12:38.345609+00:00,PERSISTED,True,True,USD,,,,,,9d8f8194-0b05-4a46-9273-51516f4e768b
599,¡Descubre todo lo que puedes aprender en 4Geeks Academy Venezuela!,GeekTALKS: ¡Presentación de proyectos finales! Venezuela,es,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-546323206417,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F445288929%2F187450375408%2F1%2Foriginal.20230213-181023?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=8157f69a2074846d2b635bb15570f428,100,2023-03-02 22:00:00+00:00,2023-03-03 00:00:00+00:00,COMPLETED,2023-02-13 18:01:54.087124+00:00,2023-08-22 14:08:30.888696+00:00,,29.0,Ivan Aranzazu,,¡Descubre todo lo que puedes aprender en 4Geeks Academy Venezuela!,2.0,546323206417,,completed,https://www.eventbrite.com/e/entradas-geektalks-presentacion-de-proyectos-finales-venezuela-546323206417,4,2023-02-13 18:18:00+00:00,2023-03-03 18:28:44.579789+00:00,PERSISTED,True,True,USD,geektalks-presentacion-de-proyectos-finales-venezuela,"geektalk-attendee,openhouse-attendee",https://meet.google.com/cey-kcvi-sxf,,,531725a6-1075-4697-bcbe-351fb5193dcf
130,PRESENTACIONES FINALES - Demostrando habilidades,PRESENTACIONES FINALES - Demostrando habilidades,,https://www.eventbrite.com/e/presentaciones-finales-demostrando-habilidades-tickets-116676415299,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F127944621%2F400512721347%2F1%2Foriginal.20210304-082555?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=a066bb75405bda830dfa98dc4cfc6132,50,2021-03-18 17:30:00+00:00,2021-03-18 19:30:00+00:00,ACTIVE,2021-03-05 07:30:51.451685+00:00,2023-08-22 14:08:30.065320+00:00,,,,,PRESENTACIONES FINALES - Demostrando habilidades,6.0,116676415299,,live,https://www.eventbrite.com/e/presentaciones-finales-demostrando-habilidades-tickets-116676415299,4,2021-03-04 10:04:51+00:00,2021-03-18 07:30:46.201994+00:00,PERSISTED,True,False,USD,,,,,,12c2f460-07ee-4099-97da-20e2f492b7e7
123,GEEKTALKS - PRESENTACIÓN DE PROYECTOS FINALES,GEEKTALKS - PRESENTACIÓN DE PROYECTOS FINALES,,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-139833785617,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F125099825%2F400512721347%2F1%2Foriginal.20210203-233104?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=c6f7408141cef6ea5834a9ec267cccde,100,2021-02-18 17:30:00+00:00,2021-02-18 19:00:00+00:00,ACTIVE,2021-02-05 07:30:33.814331+00:00,2023-08-22 14:08:30.071386+00:00,,,,,GEEKTALKS - PRESENTACIÓN DE PROYECTOS FINALES,6.0,139833785617,,live,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-139833785617,4,2021-02-04 10:33:30+00:00,2021-02-18 07:31:00.649549+00:00,PERSISTED,True,False,USD,,,,,,e6fb49d3-bca8-483a-9b66-ef3b4364708a
43,Start-Up founders meet tech talent ,Coffee Talks with Start-Up Founders,,https://www.eventbrite.com/e/coffee-talks-with-start-up-founders-tickets-127788740563,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F116647403%2F187450375408%2F1%2Foriginal.20201103-145752?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=3ef7426a0947d5b257968bb004e72c69,100,2020-11-11 23:30:00+00:00,2020-11-12 00:30:00+00:00,ACTIVE,2020-11-03 07:31:02.832066+00:00,2023-08-22 14:08:30.077727+00:00,,,,,Start-Up founders meet tech talent ,4.0,127788740563,,live,https://www.eventbrite.com/e/coffee-talks-with-start-up-founders-tickets-127788740563,4,2020-11-02 21:42:07+00:00,2020-11-11 07:31:18.737218+00:00,PERSISTED,True,False,USD,,,,,,d82ab71f-6c75-42ee-ae04-90e12b25b1ab
41,¿Te gustaría aprender Java? ¡No te pierdas está oportunidad!,Java desde cero,,https://www.eventbrite.com/e/java-desde-cero-tickets-126094968445,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F115542939%2F187450375408%2F1%2Foriginal.20201022-165852?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=7e48536681f79c71e83f47d54865696a,200,2020-11-12 21:30:00+00:00,2020-11-12 22:30:00+00:00,ACTIVE,2020-10-21 07:30:46.092512+00:00,2023-08-22 14:08:30.084853+00:00,,,,,¿Te gustaría aprender Java? ¡No te pierdas está oportunidad!,,126094968445,,live,https://www.eventbrite.com/e/java-desde-cero-tickets-126094968445,4,2020-10-20 15:17:57+00:00,2020-11-12 07:30:47.196024+00:00,PERSISTED,True,False,USD,,,,,,cdd8f8e2-f911-4ad7-a9ca-b4fc37fb34d8
122,¡Llegó el momento de que conozcas todas las habilidades adquiridas por nuestros estudiantes en los últimos 4 meses!,GeekTALKS: Presentación de proyectos finales,,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-139971234731,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F125078503%2F187450375408%2F1%2Foriginal.20210203-201613?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C125%2C4000%2C2000&s=3297fe316851fa0ff8eb3da6623a0db2,100,2021-02-26 20:00:00+00:00,2021-02-26 21:30:00+00:00,ACTIVE,2021-02-04 07:30:29.835312+00:00,2023-08-22 14:08:30.091390+00:00,,,,,¡Llegó el momento de que conozcas todas las habilidades adquiridas por nuestros estudiantes en los últimos 4 meses!,2.0,139971234731,,live,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-139971234731,4,2021-02-03 20:35:10+00:00,2021-02-26 07:30:30.453948+00:00,PERSISTED,True,False,USD,,,,,,d7b394da-1a57-4e6b-99d6-0e535548f3fb
141,"El arte del REBRAND en LinkedIn, y cómo usarlo a tu favor","El arte del REBRAND en LinkedIn, y cómo usarlo a tu favor",,https://www.eventbrite.com/e/el-arte-del-rebrand-en-linkedin-y-como-usarlo-a-tu-favor-tickets-150466927631,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F132808015%2F400512721347%2F1%2Foriginal.20210420-154445?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=67893c57eecd1924d0778300102b714e,50,2021-05-12 16:30:00+00:00,2021-05-12 18:00:00+00:00,ACTIVE,2021-04-17 07:30:46.597369+00:00,2023-08-22 14:08:30.097666+00:00,,,,,"El arte del REBRAND en LinkedIn, y cómo usarlo a tu favor",6.0,150466927631,,live,https://www.eventbrite.com/e/el-arte-del-rebrand-en-linkedin-y-como-usarlo-a-tu-favor-tickets-150466927631,4,2021-04-16 08:28:35+00:00,2021-05-12 07:31:20.379309+00:00,PERSISTED,True,False,USD,,,,,,415d4318-7f31-45d8-9e3d-0990ab63961d
